user_id,ts_start,keys_total,clicks_total,scroll_delta,moved_distance,session_num
1144,2024-03-01 12:33:30,0,0,0.0,1.0,1.0
1144,2024-03-01 12:33:40,0,0,0.0,0.0,1.0
1144,2024-03-01 12:33:50,0,0,0.0,0.0,1.0
1144,2024-03-01 12:34:00,0,0,0.0,0.0,1.0
1144,2024-03-01 12:34:10,0,0,0.0,0.0,1.0
1144,2024-03-01 12:34:20,0,0,0.0,0.0,1.0
1144,2024-03-01 12:34:30,0,0,0.0,0.0,1.0
1144,2024-03-01 12:34:40,0,0,0.0,0.0,1.0
1144,2024-03-01 12:34:50,0,0,0.0,0.0,1.0
1144,2024-03-01 12:35:00,0,0,0.0,0.0,1.0
1144,2024-03-01 12:35:10,0,0,0.0,0.0,1.0
1144,2024-03-01 12:35:20,0,0,0.0,1023.0,1.0
1144,2024-03-01 12:35:30,0,2,0.0,2087.0,1.0
1144,2024-03-01 12:35:40,0,0,0.0,837.0,1.0
1144,2024-03-01 12:35:50,0,0,0.0,279.0,1.0
1144,2024-03-01 12:36:00,0,1,0.0,0.0,1.0
1144,2024-03-01 12:36:10,0,0,0.0,0.0,1.0
1144,2024-03-01 12:36:20,0,0,0.0,0.0,1.0
1144,2024-03-01 12:36:30,0,0,0.0,0.0,1.0
1144,2024-03-01 12:36:40,0,0,0.0,1.0,1.0
1144,2024-03-01 12:36:50,0,0,0.0,306.0,1.0
1144,2024-03-01 12:37:00,0,0,0.0,0.0,1.0
1144,2024-03-01 12:37:10,0,0,0.0,0.0,1.0
1144,2024-03-01 12:37:20,0,0,0.0,1759.0,1.0
1144,2024-03-01 12:37:30,0,2,0.0,5169.0,1.0
1144,2024-03-01 12:37:40,0,2,0.0,4372.0,1.0
1144,2024-03-01 12:37:50,0,3,0.0,1997.0,1.0
1144,2024-03-01 12:38:00,0,0,0.0,370.0,1.0
1144,2024-03-01 12:38:10,0,3,24.0,351.0,1.0
1144,2024-03-01 12:38:20,0,0,0.0,0.0,1.0
1144,2024-03-01 12:38:30,0,0,0.0,0.0,1.0
